
Date,Name,Tags,URL,Description
2019-10-16,Top 10 Films of All Time,,https://boxd.it/44Vce,"In my opinion, these are the 10 best movies of what I've seen the film industry has to offer."

Position,Name,Year,URL,Description
1,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
2,Whiplash,2014,https://boxd.it/7bQA,
3,The Incredibles,2004,https://boxd.it/1XLm,
4,Nightcrawler,2014,https://boxd.it/780m,
5,Baby Driver,2017,https://boxd.it/bhF2,
6,Inception,2010,https://boxd.it/1skk,
7,Parasite,2019,https://boxd.it/hTha,
8,Marriage Story,2019,https://boxd.it/hJAw,
9,Joker,2019,https://boxd.it/h4cS,
10,Avengers: Endgame,2019,https://boxd.it/9vE4,
